,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Win,Winby,Minutes,Age_y
911,25.0,9,15,.600,3,5,.600,4,6,.667,0,1,1,11,0,1,5,1,25,20.6,+8,1,14,37.55,29.975342465753425
912,26.0,8,16,.500,4,7,.571,4,5,.800,0,4,4,3,1,3,2,3,24,18.8,+22,1,21,34.63333333333333,29.980821917808218
913,27.0,9,16,.563,2,8,.250,10,18,.556,0,4,4,8,0,0,4,1,30,21.6,-9,0,-10,40.03333333333333,29.986301369863014
914,28.0,10,20,.500,0,5,.000,9,11,.818,0,5,5,8,2,2,4,1,29,24.3,+7,1,9,36.93333333333333,29.98904109589041
915,29.0,5,19,.263,2,6,.333,5,5,1.000,1,9,10,7,1,0,7,3,17,6.8,-17,0,-23,31.85,29.994520547945207
924,30.0,11,18,.611,3,8,.375,8,13,.615,1,6,7,5,1,0,5,3,33,23.6,+4,0,-7,36.68333333333333,30.03835616438356
925,31.0,12,23,.522,4,9,.444,8,13,.615,1,3,4,5,2,0,1,2,36,28.0,+15,1,7,38.03333333333333,30.043835616438358
926,32.0,11,23,.478,3,8,.375,7,12,.583,0,11,11,7,3,0,9,4,32,18.9,+8,1,5,42.483333333333334,30.046575342465754
927,33.0,12,23,.522,0,3,.000,2,3,.667,1,4,5,4,0,0,6,4,26,11.4,+16,1,14,36.266666666666666,30.054794520547944
928,34.0,8,16,.500,0,2,.000,10,14,.714,2,5,7,9,4,0,7,0,26,22.6,+14,1,14,35.75,30.06027397260274
929,35.0,9,15,.600,2,4,.500,5,6,.833,1,5,6,9,4,1,2,1,25,28.5,+32,1,39,26.616666666666667,30.065753424657533
930,36.0,11,25,.440,2,6,.333,10,13,.769,0,7,7,5,1,2,2,1,34,25.3,+5,1,10,38.583333333333336,30.07123287671233
931,37.0,11,24,.458,0,4,.000,10,11,.909,0,6,6,7,1,0,4,3,32,21.7,0,1,8,35.93333333333333,30.076712328767123
933,38.0,7,16,.438,1,4,.250,4,6,.667,0,3,3,7,4,2,6,1,19,14.6,+13,1,11,33.06666666666667,30.084931506849315
934,39.0,14,25,.560,3,8,.375,5,8,.625,3,3,6,5,0,1,2,1,36,27.7,+25,1,16,39.75,30.087671232876712
935,40.0,6,17,.353,1,4,.250,5,6,.833,0,3,3,11,2,0,6,2,18,11.9,+19,1,13,35.85,30.09315068493151
936,41.0,8,14,.571,1,2,.500,6,7,.857,0,3,3,9,1,0,2,0,23,22.2,+27,1,11,27.783333333333335,30.101369863013698
937,42.0,10,21,.476,0,4,.000,5,8,.625,0,6,6,5,2,1,7,3,25,12.9,-3,0,-4,38.56666666666667,30.104109589041094
938,43.0,8,16,.500,2,7,.286,4,5,.800,2,8,10,8,1,0,6,2,22,17.2,+15,1,15,30.183333333333334,30.10958904109589
939,44.0,6,16,.375,0,4,.000,6,7,.857,0,9,9,7,1,0,5,2,18,11.6,+19,1,20,31.45,30.117808219178084
940,45.0,12,26,.462,2,9,.222,5,6,.833,0,5,5,4,0,0,8,3,31,12.3,-27,0,-15,34.233333333333334,30.12054794520548
941,46.0,12,21,.571,3,5,.600,1,3,.333,0,5,5,6,1,0,2,3,28,20.8,+30,1,38,25.116666666666667,30.14246575342466
942,47.0,7,17,.412,1,6,.167,3,5,.600,0,7,7,7,2,0,4,2,18,12.3,+14,1,18,27.916666666666668,30.147945205479452
943,48.0,6,14,.429,1,5,.200,6,10,.600,0,7,7,11,3,1,9,3,19,13.3,+27,1,9,39.05,30.153424657534245
944,49.0,15,25,.600,4,9,.444,8,11,.727,1,10,11,5,3,1,6,5,42,32.2,+9,1,11,36.2,30.15890410958904
946,50.0,15,35,.429,4,12,.333,3,11,.273,2,6,8,4,3,3,4,4,37,20.8,-8,0,-2,42.1,30.167123287671235
947,51.0,12,23,.522,0,1,.000,3,3,1.000,1,2,3,5,3,1,1,0,27,23.2,+35,1,31,25.583333333333332,30.172602739726027
948,52.0,9,16,.563,3,6,.500,8,13,.615,1,5,6,14,0,0,3,2,29,27.6,+6,1,8,37.45,30.175342465753424
949,53.0,5,13,.385,1,4,.250,7,8,.875,1,5,6,8,2,1,9,3,18,10.8,-4,0,-9,40.15,30.18082191780822
950,54.0,6,16,.375,2,5,.400,3,6,.500,0,6,6,8,1,0,4,3,17,10.2,+19,1,10,36.43333333333333,30.183561643835617
